state,x,y
Andhrapradesh,-117.0,-202.0
Telengana,-109.0,-122.0
Assam,275.0,139.0
Arunachalpradesh,311.0,202.0
Bihar,71.0,99.0
Chhattisgarh,-9.0,12.0
Goa,-237.0,-186.0
Gujarat,-316.0,27.0
Haryana,-166.0,220.0
Himachalpradesh,-148.0,278.0
Jharkhand,67.0,47.0
Karnataka,-193.0,-212.0
Kerala,-182.0,-325.0
Madhyapradesh,-129.0,19.0
Manipur,304.0,97.0
Meghalaya,222.0,113.0
Mizoram,277.0,52.0
Nagaland,315.0,131.0
Odisha,62.0,-48.0
Punjab,-194.0,263.0
Rajasthan,-246.0,131.0
Sikkim,151.0,174.0
TamilNadu,-125.0,-307.0
Tripura,239.0,57.0
Maharashtra,-208.0,-81.0
Uttarpradesh,-54.0,143.0
Uttarakhand,-94.0,242.0
Westbengal,-94.0,242.0
Jammuandkashmir,-166.0,372.0
